identifier,source_type,url_to_src,bar_column,pie_ring,scatter,hist_box_violin,other,url_to_figure,why_selected,comment
rog1,report,https://s2.q4cdn.com/470004039/files/doc_downloads/additional_reports/Net-Sales-By-Category-Qtrly-FY18.pdf,,,,,table,,Customer,table
rog1,report,https://content.civicplus.com/api/assets/63427b65-889f-4dab-80b1-4b1a85e7c297,yes,yes,,,,,State College resident,PDF document
ganiya,report,https://www.pewresearch.org/journalism/2026/07/16/how-americans-are-engaged-with-news-politics-religion-and-civic-life/,yes,,,,,https://www.pewresearch.org/chart/how-4-groups-vary-by-key-measures-of-social-and-civic-engagement/,,
ganiya,research,https://www.pewresearch.org/short-reads/2025/10/29/how-americans-trust-in-information-from-news-organizations-and-social-media-sites-has-changed-over-time/,yes,,,,,https://www.pewresearch.org/short-reads/2025/10/29/how-americans-trust-in-information-from-news-organizations-and-social-media-sites-has-changed-over-time/sr_25-10-29_trust-in-info_3/,,
ganiya,report,https://www.nature.com/articles/s41598-025-86883-2?fromPaywallRec=false,,,yes,,line graph,https://www.nature.com/articles/s41598-025-86883-2/figures/1,,
natalie,report,https://www.ibm.com/thought-leadership/institute-business-value/en-us/report/business-trends-2026,yes,,,,,https://www.ibm.com/thought-leadership/institute-business-value/uploads/jp/d_O1u_Y_Si_Jw5i_ZFJ_6_Oj_E_Opj9z_1129711c8b.png,Interesting to see greater optimism for organizations compared to global/national economies,Executive Perspectives
natalie,report,https://www.pewresearch.org/global/2026/02/17/where-in-the-world-are-people-proud-of-their-countrys-culture-and-lifestyle/,yes,,,,,"https://www.pewresearch.org/wp-content/uploads/sites/20/2026/02/pg_2026.02.17_national-pride_1_01.png?resize=620,1300",Shows differences in national pride for arts/cultures around the world,Bar graph descending by %
natalie,report,https://www.pewresearch.org/short-reads/2024/02/05/by-a-wide-margin-americans-say-football-not-baseball-is-americas-sport/,yes,,,,,"https://www.pewresearch.org/wp-content/uploads/sites/20/2024/01/SR_24.02.05_Americas-sport_1.png?resize=840,992",Shows strong evidence that football is recognized as america's sports even by those who don't keep up with sports,Bar graph descending by %
Daniel,,,,,,,,https://viziball.app/nba/en/player/20251021/20260412/tsp/10/10/avg/DESC/0/48/0/100/all/all,,
Daniel,,,,,,,,,,
Daniel,,,,,,,,,,
Paul,,https://ourworldindata.org/data-insights/global-average-life-expectancy-has-more-than-doubled-since-1900,,,,,Line graph,https://ourworldindata.org/cdn-cgi/imagedelivery/qLq-8BTgXU8yG0N6HnOy8g/a2ab765c-d240-4345-6bb8-6f838fba7900/w=2160,,
Paul,,https://viziball.app/nba/en/player/20260605/20260613/fc/1/10/avg/DESC/0/48/0/100/all/all,,,,,Bar Chart ,https://viziball.app/nba/en/player/20260605/20260613/fc/1/10/avg/DESC/0/48/0/100/all/all,,
Paul,,https://www.statista.com/chart/32866/least-listened-to-genres/,,,,,Bar Chart ,https://cdn.statcdn.com/Infographic/images/normal/32866.jpeg,,
Aiden/Luana,Research,https://www.advancedfootballanalytics.com/2010/01/run-pass-balance-historical-analysis.html,,,,,Line Graph,https://lh3.googleusercontent.com/blogger_img_proxy/AEn0k_stjLFb2RrmENIJ2fBIpomA_f6ZdkFHrRvKOetysw1-UBmQ5ffgdUsLC6DxcwPE2Gm553NqaQIkVzYyYLjG8uOE197o7FxNmnAixm-Z-Lq-Whk7p3Ai9I4NSKsz9zmxrKi8=s0-d,Interesting to show sports frequency changes over time in american football,"Football, table"
Aiden/Luana,Research,https://www.oliverwyman.com/our-expertise/insights/2026/jan/impact-ai-bubble-burst-on-global-financial-markets.html,Yes,,,,Line Graph,https://www.oliverwyman.com/content/dam/oliver-wyman/v3/template-scripts/templates/state-of-financial-services/2026/sofs-2026/sofs-2026-charts/Bubble-AI-Equity-scenario.svg,Interesting data that shows swings in the AI bubble market over time,"Economics, table"
Aiden/Luana,,,,,,,,,,
Ishita,Website,https://ourworldindata.org/a-never-ending-childhood-of-malaria,Yes,,,,,https://ourworldindata.org/a-never-ending-childhood-of-malaria,easy to see how frequently individual children experience malaria,Bar graph showing malaria infections
Ishita,Website,https://www.bea.gov/data/special-topics/arts-and-culture,Yes,,,,,https://www.bea.gov/data/special-topics/arts-and-culture,easy to understand arts and cultural economic activity across states,Government/BEA source; includes state-level data
Ishita,website ,https://ourworldindata.org/grapher/population-with-un-projections?,,,,,Line graph,https://ourworldindata.org/grapher/population-with-un-projections?,Shows population changes over time and includes projections for future population,
